onset	duration	trial_type
0	10	Baseline
10	0.7	GNT
10.7	5.3	Baseline
16	0.7	GNT
16.7	3.3	Baseline
20	0.7	NT
20.7	3.3	Baseline
24	0.7	GNT
24.7	5.3	Baseline
30	0.7	GT
30.7	3.3	Baseline
34	0.7	GT
34.7	5.3	Baseline
40	0.7	C2_5GT
40.7	3.3	Baseline
44	0.7	GNT
44.7	3.3	Baseline
48	0.7	NT
48.7	7.3	Baseline
56	0.7	GT
56.7	5.3	Baseline
62	0.7	GNT
62.7	3.3	Baseline
66	0.7	GNT
66.7	3.3	Baseline
70	0.7	GNT
70.7	7.3	Baseline
78	0.7	C2_5GT
78.7	3.3	Baseline
82	0.7	C2_5GT
82.7	7.3	Baseline
90	0.7	GNT
90.7	3.3	Baseline
94	0.7	GT
94.7	5.3	Baseline
100	0.7	GNT
100.7	5.3	Baseline
106	0.7	C2_5GT
106.7	7.3	Baseline
114	0.7	NT
114.7	3.3	Baseline
118	0.7	NT
118.7	3.3	Baseline
122	0.7	GT
122.7	7.3	Baseline
130	0.7	C2_5GT
130.7	5.3	Baseline
136	0.7	GNT
136.7	5.3	Baseline
142	0.7	GT
142.7	7.3	Baseline
150	0.7	NT
150.7	5.3	Baseline
156	0.7	C2_5GT
156.7	3.3	Baseline
160	0.7	GT
160.7	3.3	Baseline
164	0.7	GNT
164.7	3.3	Baseline
168	0.7	C2_5GT
168.7	5.3	Baseline
174	0.7	C2_5GT
174.7	3.3	Baseline
178	0.7	GT
178.7	7.3	Baseline
186	0.7	NT
186.7	3.3	Baseline
190	0.7	NT
190.7	3.3	Baseline
194	0.7	NT
194.7	3.3	Baseline
198	0.7	NT
198.7	7.3	Baseline
206	0.7	C2_5GT
206.7	3.3	Baseline
210	0.7	NT
210.7	5.3	Baseline
216	0.7	C2_5GT
216.7	3.3	Baseline
220	0.7	GT
220.7	3.3	Baseline
224	0.7	GNT
224.7	5.3	Baseline
230	0.7	NT
230.7	7.3	Baseline
238	0.7	C2_5GT
238.7	3.3	Baseline
242	0.7	NT
242.7	3.3	Baseline
246	0.7	GNT
246.7	5.3	Baseline
252	0.7	GNT
252.7	5.3	Baseline
258	0.7	GT
258.7	5.3	Baseline
264	0.7	GT
264.7	5.3	Baseline
270	0.7	NT
270.7	5.3	Baseline
276	0.7	GT
276.7	3.3	Baseline
280	0.7	GT
280.7	5.3	Baseline
286	0.7	GT
286.7	3.3	Baseline
290	0.7	GNT
290.7	7.3	Baseline
298	0.7	NT
298.7	3.3	Baseline
302	0.7	C2_5GT
302.7	7.3	Baseline
310	0.7	NT
310.7	3.3	Baseline
314	0.7	C2_5GT
314.7	3.3	Baseline
318	0.7	GT
318.7	3.3	Baseline
322	0.7	GNT
322.7	3.3	Baseline
326	0.7	GT
326.7	3.3	Baseline
330	0.7	C2_5GT
330.7	7.3	Baseline
338	0.7	C2_5GT
338.7	5.3	Baseline
344	0.7	C2_5GT
344.7	3.3	Baseline
348	0.7	NT
348.7	5.3	Baseline
